,Position,Track Name,Artist,Streams
782,165,You Are The Reason,Calum Scott,4003085
783,171,Loca Remix,Khea,3913921
784,175,I'm Yours,Jason Mraz,3894090
785,179,Tequila,Dan + Shay,3833887
786,181,Paradise,George Ezra,3801625
787,184,El Clavo,Prince Royce,3761994
788,185,going down!,XXXTENTACION,3761268
789,187,Done For Me (feat. Kehlani),Charlie Puth,3709030
790,188,End Of Discussion (feat. Lil Wayne),Rich The Kid,3674205
791,190,Halo,Beyoncé,3659069
792,194,NUMB,XXXTENTACION,3632224
793,196,Alien,Sabrina Carpenter,3597952
794,198,Say Amen (Saturday Night),Panic! At The Disco,3594335
795,199,Chasing Fire,Lauv,3592475
796,1,Better Now,Post Malone,40788286
797,3,Nice For What,Drake,32410762
798,4,Paranoid,Post Malone,31182644
799,5,no tears left to cry,Ariana Grande,29862555
800,7,One Kiss (with Dua Lipa),Calvin Harris,27860728
801,8,rockstar (feat. 21 Savage),Post Malone,26920146
802,9,Spoil My Night (feat. Swae Lee),Post Malone,25175356
803,10,Rich & Sad,Post Malone,24285634
804,13,Over Now,Post Malone,22173263
805,15,Ball For Me (feat. Nicki Minaj),Post Malone,21648376
806,16,Zack And Codeine,Post Malone,21279106
807,17,I Like It,Cardi B,20725789
808,18,Same Bitches (feat. G-Eazy & YG),Post Malone,19969213
809,19,Takin' Shots,Post Malone,19954804
810,23,92 Explorer,Post Malone,17856059
811,25,Otherside,Post Malone,17392639
812,27,Blame It On Me,Post Malone,16190661
813,32,KOD,J. Cole,14752310
814,33,Sugar Wraith,Post Malone,13978538
815,36,Wake Me Up - Radio Edit,Avicii,12451453
816,38,Te Boté - Remix,Nio Garcia,12128029
817,46,OTW,Khalid,11460746
818,49,Jonestown (Interlude),Post Malone,11226977
819,52,Playinwitme (feat. Kehlani),KYLE,10386621
820,54,Kevin’s Heart,J. Cole,9830532
821,55,ATM,J. Cole,9350035
822,62,Let Me,ZAYN,8949951
823,63,2002,Anne-Marie,8899988
824,69,Levels - Radio Edit,Avicii,8133286
825,71,Youngblood,5 Seconds of Summer,8101729
826,73,Motiv8,J. Cole,8055124
827,76,Esskeetit,Lil Pump,7810283
828,81,I Wanna Know (feat. Bea Miller),NOTD,7385687
829,83,1985 - Intro to “The Fall Off”,J. Cole,7300048
830,84,Familiar,Liam Payne,7252279
831,85,Famous,Mason Ramsey,7240523
832,86,Waiting For Love,Avicii,7048447
833,93,Chun-Li,Nicki Minaj,6699711
834,96,Somebody,The Chainsmokers,6618002
835,114,The Nights,Avicii,5947362
836,116,lovely (with Khalid),Billie Eilish,5895558
837,118,Hey Brother,Avicii,5785265
838,122,Neymar,Capital Bra,5484425
839,123,Sin Pijama,Becky G,5386051
840,127,Madura (feat. Bad Bunny),Cosculluela,5307812
841,142,Answerphone (feat. Yxng Bane),Banx & Ranx,4930069
842,145,BRACKETS,J. Cole,4883199
843,150,Dura - Remix,Daddy Yankee,4813672
844,155,The Cut Off (feat. kiLL edward),J. Cole,4700772
845,157,1942,G-Eazy,4688527
846,166,Drip (feat. Migos),Cardi B,4550641
847,170,Lift Yourself,Kanye West,4447429
848,171,Ye vs. the People (starring TI as the People),Kanye West,4422052
849,173,Drink About,Seeb,4384916
850,180,GOTTI,6ix9ine,4339222
851,181,Window Pain - Outro,J. Cole,4327915
852,183,Só Quer Vrau,MC MM,4291810
853,185,I Do (feat. SZA),Cardi B,4224554
854,191,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,4081945
855,198,To My Love - Tainy Remix,Bomba Estéreo,4032327
856,3,All Mine,Kanye West,27716117
857,5,Yikes,Kanye West,23601268
858,6,Ghost Town,Kanye West,23175643
859,9,Back To You,Selena Gomez,20912096
860,12,Lucid Dreams,Juice WRLD,19288712
861,14,This Is America,Childish Gambino,18242269
862,16,Wouldn't Leave,Kanye West,17762451
863,18,I Thought About Killing You,Kanye West,16851806
864,20,Violent Crimes,Kanye West,16417107
865,21,Solo (feat. Demi Lovato),Clean Bandit,16362333
866,22,Girls Like You (feat. Cardi B),Maroon 5,16103275
867,23,No Mistakes,Kanye West,15447339
868,24,Yes Indeed,Lil Baby,14987143
869,31,I'm Upset,Drake,12948208
870,36,Youth feat. Khalid,Shawn Mendes,12068729
871,40,Taste (feat. Offset),Tyga,11343659
872,41,Praise The Lord (Da Shine),A$AP Rocky,11206771
873,51,FAKE LOVE,BTS,9165232
874,52,Jackie Chan,Tiësto,8992186
875,60,All Girls Are The Same,Juice WRLD,8288887
876,63,New Light,John Mayer,8141191
877,64,Nervous,Shawn Mendes,8017396
878,75,I'll Be There,Jess Glynne,7008908
879,81,La Cintura,Alvaro Soler,6729127
880,82,TATI,6ix9ine,6706761
881,83,Audio,Sia,6624472
882,85,Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,6528914
883,86,Por Perro,Sebastian Yatra,6511339
884,88,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,6399438
885,89,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,6365443
886,92,Bella - Remix,Wolfine,6211716
887,98,Watch (feat. Lil Uzi Vert & Kanye West),Travis Scott,5827513
888,105,Start Again (feat. Logic),OneRepublic,5612208
889,107,Shoota (feat. Lil Uzi Vert),Playboi Carti,5579779
890,113,Give Yourself A Try,The 1975,5439701
891,114,Ambiente,J Balvin,5414911
892,126,Corazón (feat. Nego do Borel),Maluma,5023170
893,137,Sangria Wine,Pharrell Williams,4798990
894,139,Champion (feat. Travis Scott),NAV,4762916
895,140,Unica,Ozuna,4735816
896,153,Mi Cama,Karol G,4589975
897,155,Body,Loud Luxury,4562745
898,164,One Night Stand,Capital Bra,4441599
899,171,Ao Vivo E A Cores,Matheus & Kauan,4289412
900,174,Where Were You In The Morning?,Shawn Mendes,4240304
901,179,Duro y Suave,Leslie Grace,4166711
902,184,Entertainer,ZAYN,4136547
903,187,Humility (feat. George Benson),Gorillaz,4115165
904,188,If You're Over Me,Years & Years,4112204
905,200,Rise,Jonas Blue,3957803
906,1,Nonstop,Drake,43697135
907,2,Don’t Matter To Me,Drake,43314851
908,5,In My Feelings,Drake,30123256
909,6,Emotionless,Drake,29680801
910,8,Survival,Drake,27089507
911,9,Elevate,Drake,26995718
912,11,Mob Ties,Drake,25933856
913,12,8 Out Of 10,Drake,25910256
914,18,Talk Up,Drake,23481853
915,19,Can’t Take A Joke,Drake,22191046
916,24,Sandra’s Rose,Drake,18430122
